name,industry,description,target_age,target_gender,target_interests,content_themes
Calzedonia,Fashion & Retail,"Italian hosiery and beachwear brand, quality intimate apparel, feminine style",20-50,Female,"Fashion,Beach,Intimate apparel","Feminine elegance,Beach lifestyle,Quality materials,Seasonal collections"
Intimissimi,Fashion & Retail,"Italian lingerie brand, elegant intimate apparel, quality and comfort, feminine sophistication",20-50,Female,"Fashion,Lingerie,Quality","Feminine sophistication,Comfort,Italian style,Intimate elegance"
Sephora,Beauty & Cosmetics,"International beauty retailer, premium cosmetics and skincare, luxury and mass brands",18-45,Female,"Beauty,Cosmetics,Skincare,Luxury","Beauty trends,Makeup tutorials,Skincare routines,Luxury beauty"
Douglas,Beauty & Cosmetics,"European perfume and cosmetics retailer, premium beauty products, fragrance specialist",20-55,Mixed,"Beauty,Fragrance,Luxury","Perfume culture,Beauty rituals,Premium cosmetics,Gift shopping"
Druni,Beauty & Cosmetics,"Spanish perfume and cosmetics chain, affordable beauty products, wide brand selection",18-55,Female,"Beauty,Cosmetics,Value","Accessible beauty,Fragrance,Personal care,Beauty deals"
Zara Home,Home & Decor,"Home furnishings and decor brand, modern aesthetic, seasonal collections, affordable design",25-55,Mixed,"Home decor,Design,Lifestyle","Interior design,Seasonal decor,Modern living,Home aesthetics"
Leroy Merlin,Home Improvement,"French DIY and home improvement retailer, renovation supplies, garden products",30-65,Mixed,"DIY,Home improvement,Gardening","Home projects,Renovation,Garden design,DIY tutorials"
Ikea,Home & Furniture,"Swedish furniture retailer, affordable modern design, flat-pack furniture, sustainability focus",25-55,Mixed,"Home decor,Design,Sustainability","Affordable design,Space solutions,Sustainable living,Modern home"
MediaMarkt,Electronics & Technology,"German electronics retailer, comprehensive tech products, competitive pricing",20-55,Mixed,"Technology,Electronics,Gaming","Tech innovation,Smart home,Gaming,Electronics deals"
Worten,Electronics & Technology,"Portuguese electronics chain, appliances and tech products, competitive market presence",20-55,Mixed,"Technology,Electronics,Home appliances","Tech products,Smart devices,Home electronics,Innovation"
Fnac,Books & Electronics,"French retail chain, books, music, electronics, cultural products",20-55,Mixed,"Culture,Books,Music,Technology","Cultural content,Entertainment,Technology,Reading"
Telepizza,Food & Restaurant,"Spanish pizza chain, fast food, delivery focus, family-oriented",16-50,Mixed,"Food,Fast food,Convenience,Family","Pizza nights,Delivery,Family meals,Quick dining"
Rodilla,Food & Restaurant,"Spanish sandwich chain, quick service, fresh ingredients, on-the-go dining",18-50,Mixed,"Food,Quick service,Healthy eating","Fresh sandwiches,Quick lunch,Spanish flavors,On-the-go"
Vips,Food & Restaurant,"Spanish casual dining chain, family restaurants, diverse menu, all-day dining",All ages,Mixed,"Dining,Family,Casual","Family dining,Breakfast,Casual meals,Spanish comfort food"
100 Montaditos,Food & Restaurant,"Spanish tapas bar chain, affordable small sandwiches, beer and tapas culture, value pricing",18-40,Mixed,"Food,Social,Nightlife,Budget","Tapas culture,Social dining,Beer pairing,Spanish tradition"
Burger King,Food & Restaurant,"International fast-food chain, burgers and fries, flame-grilled specialty",16-45,Mixed,"Fast food,Convenience,Burgers","Fast dining,Value meals,Flame-grilled,Quick service"
McDonald's,Food & Restaurant,"Global fast-food leader, burgers and fries, family-friendly, consistent quality",All ages,Mixed,"Fast food,Family,Convenience","Family meals,Quick service,Consistent quality,Global brand"
KFC,Food & Restaurant,"International fried chicken chain, Southern-style food, family buckets",16-50,Mixed,"Fast food,Chicken,Family","Fried chicken,Family meals,Comfort food,Quick dining"
Starbucks,Food & Beverage,"American coffee chain, premium coffee experience, work and social space",18-50,Mixed,"Coffee,Work,Social,Lifestyle","Coffee culture,Work space,Social meetings,Premium beverages"
Banco Santander,Financial Services,"Major Spanish bank, comprehensive financial services, international presence, retail and corporate banking",25-70,Mixed,"Finance,Banking,Investment","Financial security,Banking services,Investment,Savings"
BBVA,Financial Services,"Spanish multinational bank, digital banking leader, innovative financial services",25-70,Mixed,"Finance,Banking,Technology","Digital banking,Financial innovation,Investment,Modern banking"
CaixaBank,Financial Services,"Leading Spanish bank, retail banking focus, community-oriented, comprehensive services",25-70,Mixed,"Finance,Banking,Community","Retail banking,Financial services,Community support,Savings"
Mapfre,Insurance,"Spanish insurance company, comprehensive insurance products, international presence",25-70,Mixed,"Insurance,Financial security","Protection,Risk management,Financial planning,Peace of mind"
Línea Directa,Insurance,"Spanish direct insurance company, car and home insurance, digital-first approach",25-65,Mixed,"Insurance,Automobiles,Home","Direct insurance,Digital service,Auto coverage,Home protection"
Telefónica,Telecommunications,"Spanish telecom giant, Movistar brand, mobile and broadband services, technology solutions",18-70,Mixed,"Telecommunications,Technology,Connectivity","Mobile connectivity,Internet,Technology,Digital life"
Orange,Telecommunications,"French telecom operator, mobile and broadband services, competitive pricing",18-65,Mixed,"Telecommunications,Mobile,Internet","Mobile services,Connectivity,Entertainment,Internet"
Vodafone,Telecommunications,"British telecom multinational, mobile and broadband, business solutions",18-70,Mixed,"Telecommunications,Mobile,Technology","Mobile network,Internet connectivity,Business solutions,5G"
Yoigo,Telecommunications,"Spanish mobile operator, value-focused, young demographic, digital-native",18-45,Mixed,"Telecommunications,Mobile,Value","Mobile deals,Digital services,Young customers,Connectivity"
Masmovil,Telecommunications,"Spanish telecom operator, competitive pricing, fiber and mobile services",20-55,Mixed,"Telecommunications,Internet,Mobile","Affordable connectivity,Fiber internet,Mobile services,Value"
Repsol,Energy & Fuel,"Spanish energy company, fuel stations, renewable energy, automotive services",25-70,Mixed,"Automobiles,Energy,Sustainability","Fuel services,Energy transition,Sustainable mobility,Road trips"
Cepsa,Energy & Fuel,"Spanish energy company, fuel stations, energy products, convenience stores",25-70,Mixed,"Automobiles,Energy,Convenience","Fuel services,Road travel,Convenience,Energy"
BP,Energy & Fuel,"British energy multinational, fuel stations, convenience services, loyalty programs",25-70,Mixed,"Automobiles,Energy,Convenience","Fuel services,Road travel,Convenience shopping,Rewards"
Shell,Energy & Fuel,"Dutch-British energy company, fuel stations, convenience retail, loyalty programs",25-70,Mixed,"Automobiles,Energy,Travel","Fuel services,Travel,Convenience,Road trips"
Galp,Energy & Fuel,"Portuguese energy company, fuel stations, energy products, Iberian market focus",25-70,Mixed,"Automobiles,Energy,Travel","Fuel services,Energy products,Road travel,Convenience"
NH Hotels,Hospitality & Tourism,"Spanish hotel chain, business and leisure hotels, urban locations, international presence",25-65,Mixed,"Travel,Business,Leisure","Urban hospitality,Business travel,City breaks,Comfort"
Meliá Hotels,Hospitality & Tourism,"Spanish hotel group, vacation and urban hotels, Mediterranean focus, premium experience",25-70,Mixed,"Travel,Luxury,Vacations,Mediterranean","Resort experiences,Mediterranean lifestyle,Premium hospitality,Vacations"
Barceló Hotels,Hospitality & Tourism,"Spanish hotel chain, resorts and urban hotels, family-friendly, diverse destinations",All ages,Mixed,"Travel,Family,Vacations,Leisure","Resort living,Family vacations,Diverse destinations,Hospitality"
Iberia,Hospitality & Tourism,"Spanish airline, international flights, business and leisure travel, premium services",25-70,Mixed,"Travel,Business,Vacations","Air travel,Destinations,Business travel,Vacation planning"
Vueling,Hospitality & Tourism,"Spanish low-cost airline, European destinations, affordable travel, young travelers",18-55,Mixed,"Travel,Budget,Europe,Adventure","Affordable travel,European destinations,Young travelers,City breaks"
Renfe,Transportation,"Spanish national railway, high-speed trains, regional services, sustainable travel",All ages,Mixed,"Travel,Transportation,Sustainability","Train travel,Sustainable mobility,Spanish regions,Commuting"
Cabify,Transportation,"Spanish ride-hailing app, urban mobility, professional drivers, safety focus",18-55,Mixed,"Transportation,Urban,Technology,Convenience","Urban mobility,Safe transport,App-based,City travel"
Europcar,Transportation,"European car rental company, mobility solutions, business and leisure travel",25-70,Mixed,"Travel,Transportation,Business,Leisure","Car rental,Road trips,Business travel,Flexibility"
Hertz,Transportation,"American car rental company, international presence, diverse fleet, travel solutions",25-70,Mixed,"Travel,Transportation,Business","Car rental,Travel flexibility,Business solutions,Road travel"
Seat,Automotive,"Spanish car manufacturer, urban vehicles, Spanish design, Volkswagen Group brand",25-60,Mixed,"Automobiles,Technology,Urban lifestyle","Urban driving,Spanish design,Automotive innovation,Lifestyle"
Renault,Automotive,"French car manufacturer, diverse vehicle range, electric vehicles, family cars",25-70,Mixed,"Automobiles,Family,Technology,Sustainability","Automotive innovation,Electric mobility,Family vehicles,Design"
Peugeot,Automotive,"French car manufacturer, style and comfort, diverse range, electric transition",25-70,Mixed,"Automobiles,Design,Technology,Family","Automotive design,Driving experience,Family vehicles,Innovation"
Ford,Automotive,"American car manufacturer, trucks and SUVs, performance vehicles, reliability",25-70,Mixed,"Automobiles,Performance,Family,Work","Vehicle performance,Reliability,Family transport,Work vehicles"
Toyota,Automotive,"Japanese car manufacturer, hybrid technology leader, reliability, efficiency",25-70,Mixed,"Automobiles,Sustainability,Reliability,Efficiency","Hybrid technology,Reliability,Efficiency,Sustainable driving"
Volkswagen,Automotive,"German car manufacturer, quality engineering, diverse range, family vehicles",25-70,Mixed,"Automobiles,Quality,Technology,Family","German engineering,Quality vehicles,Family cars,Innovation"
BMW,Automotive,"German luxury car manufacturer, performance and luxury, premium brand, driving pleasure",30-70,Mixed,"Automobiles,Luxury,Performance,Technology","Luxury driving,Performance,German engineering,Premium lifestyle"
Mercedes-Benz,Automotive,"German luxury car manufacturer, premium vehicles, innovation leader, prestigious brand",30-70,Mixed,"Automobiles,Luxury,Innovation,Prestige","Luxury vehicles,Premium experience,Innovation,Status"
Audi,Automotive,"German premium car manufacturer, technology leader, sporty luxury, progressive design",30-70,Mixed,"Automobiles,Technology,Luxury,Performance","Premium vehicles,Technology,Sporty elegance,Innovation"
Dia,Fitness & Beauty,"Beauty and wellness chain, affordable services, accessibility focus",18-55,Female,"Beauty,Wellness,Self-care","Beauty services,Wellness,Self-care,Affordable treatments"
Women'secret,Fashion & Retail,"Women's lingerie and swimwear brand, feminine style, comfort and fashion",20-50,Female,"Fashion,Lingerie,Beach,Comfort","Feminine lingerie,Swimwear,Comfort,Seasonal collections"
Springfield,Fashion & Retail,"Men's casual fashion brand, American-inspired style, young demographic",18-40,Male,"Fashion,Casual,Lifestyle","Casual menswear,American style,Youth fashion,Relaxed looks"
Cortefiel,Fashion & Retail,"Classic Spanish fashion brand, timeless style, quality basics, professional wear",30-65,Mixed,"Fashion,Classic style,Quality","Timeless fashion,Professional wear,Quality basics,Classic elegance"
Pedro del Hierro,Fashion & Retail,"Premium Spanish fashion brand, elegant designs, quality materials, sophisticated style",30-60,Mixed,"Fashion,Luxury,Quality,Elegance","Sophisticated style,Premium fashion,Quality craftsmanship,Elegance"
Tendam Group,Fashion & Retail,"Spanish fashion group (Cortefiel, Pedro del Hierro, Springfield, Women'secret), diverse brands",All ages,Mixed,"Fashion,Retail,Lifestyle","Multi-brand fashion,Diverse styles,Spanish fashion,Quality"
Loewe,Fashion & Luxury,"Luxury Spanish leather goods brand, high-end fashion, artisan craftsmanship, prestigious heritage",30-70,Mixed,"Luxury,Fashion,Art,Craftsmanship","Luxury leather goods,Artisan craftsmanship,Spanish heritage,High fashion"
Adolfo Dominguez,Fashion & Retail,"Spanish fashion designer brand, timeless elegance, linen specialist, natural fabrics",30-65,Mixed,"Fashion,Quality,Sustainability,Timeless","Timeless elegance,Natural fabrics,Sustainable fashion,Classic designs"
Bimba y Lola,Fashion & Retail,"Contemporary Spanish fashion brand, colorful designs, accessories focus, creative style",25-45,Female,"Fashion,Accessories,Art,Creativity","Creative fashion,Bold accessories,Colorful style,Contemporary design"
Natura Bissé,Beauty & Skincare,"Spanish luxury skincare brand, professional treatments, premium products, spa quality",30-65,Female,"Beauty,Skincare,Luxury,Wellness","Luxury skincare,Anti-aging,Professional treatments,Wellness"
Freshly Cosmetics,Beauty & Skincare,"Spanish natural cosmetics brand, sustainable beauty, vegan products, eco-conscious",20-45,Female,"Beauty,Sustainability,Natural,Wellness","Natural beauty,Sustainable cosmetics,Vegan products,Eco-friendly"
Equivalenza,Beauty & Fragrance,"Spanish perfume chain, affordable fragrances, equivalents to luxury scents, customization",18-55,Mixed,"Beauty,Fragrance,Value","Affordable perfumes,Fragrance culture,Custom scents,Gift shopping"
Don Algodón,Fashion & Retail,"Spanish children's and teen fashion brand, colorful casual wear, family-focused",5-16,Mixed,"Fashion,Kids,Family,Casual","Kids fashion,Teen style,Colorful designs,Family shopping"
Mayoral,Fashion & Retail,"Spanish children's fashion brand, international presence, quality kids clothing",0-16,Mixed,"Fashion,Kids,Family,Quality","Children's fashion,Quality clothing,International style,Family"
Tutti,Fashion & Retail,"Spanish handbag and accessories chain, affordable fashion accessories, trendy designs",18-45,Female,"Fashion,Accessories,Trends","Affordable accessories,Handbags,Fashion trends,Budget style"
Punt Roma,Fashion & Retail,"Spanish women's fashion brand, comfortable elegant wear, mature demographic",35-65,Female,"Fashion,Comfort,Elegance","Comfortable elegance,Mature fashion,Quality fabrics,Sophisticated casual"
Scalpers,Fashion & Retail,"Spanish preppy fashion brand, American collegiate style, casual elegance",20-40,Mixed,"Fashion,Preppy,Lifestyle,Casual","Preppy style,Casual elegance,American influence,Quality basics"
Brownie,Fashion & Retail,"Spanish fashion brand, feminine designs, young women focus, affordable style",18-35,Female,"Fashion,Feminine,Youth,Trends","Feminine fashion,Youth trends,Affordable style,Contemporary"
Nanos,Fashion & Retail,"Spanish luxury children's fashion brand, premium kids clothing, elegant designs",0-12,Mixed,"Fashion,Kids,Luxury,Quality","Premium children's wear,Elegant kids fashion,Special occasions,Quality"
Blue Banana,Fashion & Retail,"Spanish urban fashion brand, street style, youth culture, music influence",16-28,Mixed,"Fashion,Street style,Music,Youth","Urban fashion,Street culture,Music influence,Youth trends"
Lefties,Fashion & Retail,"Inditex outlet brand, discounted fashion, value pricing, family shopping",All ages,Mixed,"Fashion,Value,Shopping,Family","Outlet shopping,Value fashion,Discounts,Family deals"
Game,Retail & Gaming,"Spanish video game and electronics retailer, gaming culture, tech products",12-40,Mixed,"Gaming,Technology,Entertainment","Gaming culture,Console games,Tech gadgets,Entertainment"
Xtralife,Retail & Gaming,"Spanish video game specialty retailer, collector items, gaming community",12-40,Mixed,"Gaming,Collecting,Technology","Gaming collectibles,Game culture,Community,Tech"
Arenal Sound,Entertainment & Events,"Spanish music festival brand, summer festivals, youth culture, beach setting",18-35,Mixed,"Music,Festivals,Beach,Youth culture","Music festivals,Summer events,Youth culture,Beach parties"
Go Fit,Fitness & Wellness,"Spanish fitness club chain, gym facilities, group classes, wellness focus",18-55,Mixed,"Fitness,Health,Wellness,Sports","Fitness training,Group classes,Wellness,Healthy lifestyle"
DiR,Fitness & Wellness,"Spanish premium fitness club chain, comprehensive facilities, wellness services",25-60,Mixed,"Fitness,Wellness,Luxury,Health","Premium fitness,Wellness services,Spa,Healthy lifestyle"
Holmes Place,Fitness & Wellness,"International premium health club, luxury fitness, comprehensive wellness",25-60,Mixed,"Fitness,Luxury,Wellness,Health","Luxury fitness,Wellness,Spa services,Premium health"
Feu Vert,Automotive Services,"French automotive service chain, car maintenance, tire services, repairs",25-70,Mixed,"Automobiles,Maintenance,Services","Car maintenance,Tire services,Auto repairs,Vehicle care"
Norauto,Automotive Services,"French automotive service chain, car parts and accessories, maintenance services",25-70,Mixed,"Automobiles,DIY,Maintenance","Auto parts,Car accessories,Maintenance,DIY services"
Midas,Automotive Services,"American automotive service chain, exhaust and brake specialist, car maintenance",25-70,Mixed,"Automobiles,Maintenance,Services","Auto repairs,Maintenance,Brake service,Vehicle care"
Cinco Jotas,Food & Beverage,"Premium Spanish Iberian ham brand, gourmet products, luxury gastronomy",30-70,Mixed,"Food,Luxury,Gastronomy,Spanish culture","Gourmet food,Spanish tradition,Premium products,Culinary excellence"
Camper,Fashion & Retail,"Spanish footwear brand, unique designs, comfort-focused, Mediterranean style",25-60,Mixed,"Fashion,Footwear,Comfort,Design","Comfortable footwear,Unique style,Mediterranean fashion,Quality craftsmanship"
Tous,Fashion & Jewelry,"Spanish jewelry brand, bears logo, affordable luxury, feminine designs",20-60,Female,"Fashion,Jewelry,Luxury,Gifts","Jewelry design,Gift shopping,Feminine accessories,Special occasions"
Natura,Food & Beverage,"Spanish organic food brand, natural products, sustainability focus, health-conscious",25-55,Mixed,"Food,Health,Sustainability,Organic","Organic food,Healthy eating,Sustainable living,Natural products"
Sanitas,Healthcare & Wellness,"Spanish healthcare provider, private medical insurance, wellness services",25-70,Mixed,"Health,Wellness,Medical,Insurance","Healthcare services,Medical insurance,Wellness,Preventive care"
Quirónsalud,Healthcare & Wellness,"Spanish private hospital group, premium healthcare, comprehensive medical services",25-70,Mixed,"Health,Medical,Premium services","Premium healthcare,Medical excellence,Specialized care,Health innovation"
Vitaldent,Healthcare & Wellness,"Spanish dental care chain, affordable dentistry, family-oriented",All ages,Mixed,"Health,Dental care,Family","Dental health,Family dentistry,Preventive care,Smile care"
Farmacia,Healthcare & Wellness,"Spanish pharmacy chain, health products, beauty and wellness",All ages,Mixed,"Health,Beauty,Wellness,Pharmacy","Health products,Beauty care,Wellness,Personal care"
Primor,Beauty & Cosmetics,"Spanish perfume and cosmetics chain, affordable beauty, wide selection",18-55,Female,"Beauty,Cosmetics,Fragrance","Beauty deals,Perfume,Cosmetics,Affordable luxury"
Maybelline,Beauty & Cosmetics,"American cosmetics brand, makeup for all, trendy products, accessible pricing",16-45,Female,"Beauty,Makeup,Fashion,Trends","Makeup trends,Beauty tutorials,Affordable makeup,Self-expression"
L'Oréal,Beauty & Cosmetics,"French beauty giant, hair care and cosmetics, professional quality, mass market",18-60,Female,"Beauty,Hair care,Cosmetics,Quality","Beauty innovation,Hair care,Professional quality,Age diversity"
Garnier,Beauty & Cosmetics,"French hair and skincare brand, natural ingredients, affordable quality",18-55,Female,"Beauty,Hair care,Natural,Sustainability","Natural beauty,Hair care,Skincare,Eco-conscious"
Nivea,Beauty & Skincare,"German skincare brand, family-friendly products, trusted quality, accessible",All ages,Mixed,"Beauty,Skincare,Family,Health","Family skincare,Trusted quality,Daily care,Protection"
The Body Shop,Beauty & Cosmetics,"British beauty brand, ethical products, natural ingredients, social responsibility",18-50,Female,"Beauty,Sustainability,Ethics,Natural","Ethical beauty,Natural products,Social responsibility,Cruelty-free"
Yves Rocher,Beauty & Cosmetics,"French botanical beauty brand, natural cosmetics, eco-friendly",20-60,Female,"Beauty,Natural,Sustainability,Wellness","Botanical beauty,Natural cosmetics,Eco-beauty,Wellness"
Kiko Milano,Beauty & Cosmetics,"Italian makeup brand, trendy products, affordable luxury, colorful",16-45,Female,"Beauty,Makeup,Fashion,Italian style","Trendy makeup,Affordable luxury,Color cosmetics,Italian design"
NYX Professional Makeup,Beauty & Cosmetics,"American makeup brand, professional quality, cruelty-free, trendy",16-40,Female,"Beauty,Makeup,Fashion,Trends","Professional makeup,Bold looks,Makeup artistry,Trend-driven"
MAC Cosmetics,Beauty & Cosmetics,"Canadian professional makeup brand, high quality, diverse shades, artistic",20-50,Female,"Beauty,Makeup,Art,Professional","Professional cosmetics,Artistic expression,Makeup artistry,Inclusive beauty"
Rituals,Beauty & Wellness,"Dutch cosmetics and home brand, luxury wellness, Asian-inspired",25-60,Mixed,"Beauty,Wellness,Luxury,Home","Luxury wellness,Self-care rituals,Home fragrance,Mindfulness"
Muji,Retail & Lifestyle,"Japanese minimalist brand, simple design, quality basics, lifestyle products",20-50,Mixed,"Lifestyle,Design,Minimalism,Quality","Minimalist living,Simple design,Quality essentials,Japanese aesthetics"
Flying Tiger Copenhagen,Retail & Lifestyle,"Danish variety store, quirky products, affordable design, fun shopping",16-50,Mixed,"Shopping,Design,Fun,Gifts","Fun shopping,Gift ideas,Design objects,Affordable treasures"
Normal,Beauty & Retail,"Danish beauty and household chain, affordable quality, Scandinavian design",18-55,Female,"Beauty,Home,Value,Design","Affordable beauty,Household essentials,Scandinavian style,Value shopping"
Pepco,Fashion & Retail,"Polish discount fashion chain, family clothing, budget-friendly, basic essentials",All ages,Mixed,"Fashion,Family,Budget,Value","Budget fashion,Family essentials,Value shopping,Basic clothing"
Sprinter,Sports & Fitness,"Spanish sports retailer, athletic wear and equipment, urban sports focus",16-50,Mixed,"Sports,Fitness,Fashion,Urban","Sports fashion,Athletic gear,Urban sports,Active lifestyle"
Intersport,Sports & Fitness,"International sports retailer, comprehensive sports equipment, all sports coverage",16-60,Mixed,"Sports,Fitness,Outdoor,Equipment","Sports equipment,Athletic gear,Outdoor sports,Family fitness"
Forum Sport,Sports & Fitness,"Spanish sports chain, athletic equipment, mountain sports focus",18-55,Mixed,"Sports,Outdoor,Mountain,Fitness","Mountain sports,Outdoor adventure,Athletic equipment,Nature"
Deporvillage,Sports & Fitness,"Spanish online sports retailer, cycling and running focus, e-commerce",20-50,Mixed,"Sports,Cycling,Running,Online shopping","Cycling gear,Running equipment,Online sports shopping,Endurance sports"
Jysk,Home & Furniture,"Danish furniture and home chain, Scandinavian design, affordable quality",25-60,Mixed,"Home,Furniture,Design,Value","Scandinavian design,Affordable furniture,Home essentials,Quality basics"
Conforama,Home & Furniture,"French furniture retailer, complete home solutions, budget-friendly",25-65,Mixed,"Home,Furniture,Value,Family","Home furniture,Budget solutions,Complete home,Family living"
Brico Depôt,Home Improvement,"French DIY chain, construction materials, budget-focused, trade and DIY",25-70,Mixed,"DIY,Construction,Home improvement,Budget","DIY projects,Construction materials,Budget renovations,Trade supplies"
Bauhaus,Home Improvement,"German DIY superstore, professional quality, comprehensive range",25-70,Mixed,"DIY,Construction,Professional,Quality","Professional DIY,Quality materials,Construction,Home renovation"
AKÍ,Home Improvement,"Spanish DIY chain, home improvement products, garden and construction",25-70,Mixed,"DIY,Home improvement,Garden,Construction","Home projects,DIY supplies,Garden products,Renovation"
Bricomart,Home Improvement,"Spanish construction materials chain, professional focus, wholesale prices",30-70,Male,"Construction,DIY,Professional,Wholesale","Professional construction,Wholesale prices,Building materials,Trade supplies"
Alcampo,Food & Grocery,"French hypermarket chain (Auchan), comprehensive shopping, competitive prices",25-70,Mixed,"Grocery,Shopping,Value,Family","Hypermarket shopping,Value pricing,Family groceries,One-stop shopping"
Ahorramas,Food & Grocery,"Spanish supermarket chain, Madrid-focused, competitive pricing, local presence",25-70,Mixed,"Grocery,Local,Value,Madrid","Local supermarket,Value shopping,Madrid,Neighborhood store"
Froiz,Food & Grocery,"Spanish supermarket chain, Galicia-focused, regional products, fresh focus",30-70,Mixed,"Grocery,Regional,Galicia,Fresh products","Galician products,Fresh food,Regional supermarket,Local sourcing"
Gadis,Food & Grocery,"Spanish supermarket chain, Northwest Spain, regional focus, quality products",30-70,Mixed,"Grocery,Regional,Quality,Northwest Spain","Regional supermarket,Quality products,Northwest Spain,Local brands"
BM Supermercados,Food & Grocery,"Spanish supermarket chain, competitive pricing, Canary Islands presence",25-70,Mixed,"Grocery,Value,Canary Islands","Value supermarket,Budget shopping,Canary Islands,Competitive prices"
Supersol,Food & Grocery,"Spanish supermarket chain, Andalusia focus, regional presence",25-70,Mixed,"Grocery,Andalusia,Regional","Andalusian supermarket,Regional products,Southern Spain,Local shopping"
Ginos,Food & Restaurant,"Italian restaurant chain in Spain, pizza and pasta, casual dining",18-60,Mixed,"Food,Italian,Casual dining,Family","Italian cuisine,Pizza,Pasta,Family dining"
La Tagliatella,Food & Restaurant,"Italian restaurant chain, authentic Italian, family-friendly",20-65,Mixed,"Food,Italian,Family,Quality","Authentic Italian,Family restaurant,Pasta,Mediterranean"
